"CD_NOM";"NOM_VALIDE";"NOM_CITE";"ENJEU_CONSERVATION"
959230;"Allosorus pteridioides";"Allosorus pteridioides (Reichard) Christenh., 2012 ";"MOY"
959234;"Allosorus tinaei";"Allosorus tinaei (Tod.) Christenh., 2012 ";"MOY"
131226;"Alnus alnobetula subsp. alnobetula";"Alnus alnobetula subsp. alnobetula (Ehrh.) K.Koch,  1872 ";"MOY"
131227;"Alnus alnobetula subsp. suaveolens";"Alnus alnobetula subsp. suaveolens (Req.) Lambinon  & KerguÃ©len, 1988 ";"FOR"
81567;"Alnus cordata";"Alnus cordata (Loisel.) Duby, 1828 ";"MOY"
81569;"Alnus glutinosa";"Alnus glutinosa (L.) Gaertn., 1790 ";"MOY"
81570;"Alnus incana";"Alnus incana (L.) Moench, 1794 ";"MOY"
81610;"Alopecurus aequalis";"Alopecurus aequalis Sobol., 1799 ";"MOY"
81624;"Alopecurus bulbosus";"Alopecurus bulbosus Gouan, 1762 ";"FOR"
81637;"Alopecurus geniculatus";"Alopecurus geniculatus L., 1753 ";"MOY"
81638;"Alopecurus gerardi";"Alopecurus gerardi Vill., 1786 ";"FAI"
81648;"Alopecurus myosuroides";"Alopecurus myosuroides Huds., 1762 ";"MOY"
81656;"Alopecurus pratensis";"Alopecurus pratensis L., 1753 ";"MOY"
81837;"Althaea cannabina";"Althaea cannabina L., 1753 ";"MOY"
81856;"Althaea officinalis";"Althaea officinalis L., 1753 ";"MOY"
81869;"Althenia filiformis";"Althenia filiformis Petit, 1829 ";"MOY"
131262;"Althenia filiformis subsp. filiformis";"Althenia filiformis subsp. filiformis Petit, 1829 ";"MOY"
131263;"Althenia filiformis subsp. orientalis";"Althenia filiformis subsp. orientalis Tzvelev, 1975 ";"FOR"
81875;"Alyssoides utriculata";"Alyssoides utriculata (L.) Medik., 1789 ";"MOY"
81876;"Alyssum alpestre";"Alyssum alpestre L., 1767 ";"MOY"
81878;"Alyssum alyssoides";"Alyssum alyssoides (L.) L., 1759 ";"MOY"
810907;"Alyssum cacuminum";"Alyssum cacuminum Å paniel, Marhold & LihovÃ¡, 2014 ";"MOY"
161703;"Alyssum flexicaule";"Alyssum flexicaule Jord., 1846 ";"FOR"
81923;"Alyssum montanum";"Alyssum montanum L., 1753 ";"MOY"
81926;"Alyssum orophilum";"Alyssum orophilum Jord. & Fourr., 1868 ";"TFO"
81935;"Alyssum rhodanense";"Alyssum rhodanense Jord. & Fourr., 1868 ";"TFO"
81936;"Alyssum robertianum";"Alyssum robertianum Bernard, Godr. & Gren., 1848 ";"TFO"
81943;"Alyssum serpyllifolium";"Alyssum serpyllifolium Desf., 1799 ";"FOR"
81944;"Alyssum simplex";"Alyssum simplex Rudolphi, 1799 ";"MOY"
81966;"Amaranthus blitum";"Amaranthus blitum L., 1753 ";"MOY"
131285;"Amaranthus blitum subsp. blitum";"Amaranthus blitum subsp. blitum L., 1753 ";"DD"
131286;"Amaranthus blitum subsp. emarginatus";"Amaranthus blitum subsp. emarginatus (Salzm. ex  Uline & W.L.Bray) Carretero, MuÃ±oz Garm. & Pedrol,  1987 ";"MOY"
131292;"Amaranthus graecizans subsp. silvestris";"Amaranthus graecizans subsp. silvestris (Vill.) Brenan,  1961 ";"FOR"
82086;"Ambrosia maritima";"Ambrosia maritima L., 1753 ";"DD"
82095;"Ambrosina bassii";"Ambrosina bassii L., 1764 ";"FOR"
82103;"Amelanchier ovalis";"Amelanchier ovalis Medik., 1793 ";"MOY"
131308;"Amelanchier ovalis subsp. embergeri";"Amelanchier ovalis subsp. embergeri Favarger & Stearn, 1983 ";"DD"
131308;"Amelanchier ovalis subsp. ovalis";"Amelanchier ovalis subsp. ovalis Medik., 1793 ";"MOY"
82130;"Ammi majus";"Ammi majus L., 1753 ";"MOY"
82136;"Ammoides pusilla";"Ammoides pusilla (Brot.) Breistr., 1947 ";"MOY"
131314;"Ammophila arenaria subsp. arundinacea";"Ammophila arenaria subsp. arundinacea (Husn.)  H.Lindb., 1932 ";"FOR"
82173;"Ampelodesmos mauritanicus";"Ampelodesmos mauritanicus (Poir.) T.Durand &  Schinz, 1894 ";"FOR"
82280;"Anacamptis collina";"Anacamptis collina (Banks & Sol. ex Russell)  R.M.Bateman, Pridgeon & M.W.Chase, 1997 ";"DD"
82282;"Anacamptis coriophora";"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon &  M.W.Chase, 1997 ";"MOY"
162132;"Anacamptis coriophora subsp. coriophora";"Anacamptis coriophora subsp. coriophora (L.)  R.M.Bateman, Pridgeon & M.W.Chase, 1997 ";"MOY"
162133;"Anacamptis coriophora subsp. martrinii";"Anacamptis coriophora subsp. martrinii (Timb.-Lagr.)  Jacquet & Scappat., 2003 ";"MOY"
131319;"Anacamptis fragrans";"Anacamptis fragrans (Pollini) R.M.Bateman, 2003 ";"MOY"
82283;"Anacamptis laxiflora";"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon &  M.W.Chase, 1997 ";"MOY"
82285;"Anacamptis morio";"Anacamptis morio (L.) R.M.Bateman, Pridgeon &  M.W.Chase, 1997 ";"MOY"
719215;"Anacamptis morio subsp. champagneuxii";"Anacamptis morio subsp. champagneuxii (BarnÃ©oud)  H.Kretzschmar, Eccarius & H.Dietr., 2007 ";"FOR"
719216;"Anacamptis morio subsp. longicornu";"Anacamptis morio subsp. longicornu (Poir.)  H.Kretzschmar, Eccarius & H.Dietr., 2007 ";"FOR"
719217;"Anacamptis morio subsp. morio";"Anacamptis morio subsp. morio (L.) R.M.Bateman,  Pridgeon & M.W.Chase, 1997 ";"MOY"
626615;"Anacamptis morio subsp. picta";"Anacamptis morio subsp. picta (Loisel.) Jacquet &  Scappat., 2003 ";"MOY"
82286;"Anacamptis palustris";"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon  & M.W.Chase, 1997 ";"FOR"
82287;"Anacamptis papilionacea";"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon  & M.W.Chase, 1997 ";"MOY"
82288;"Anacamptis pyramidalis";"Anacamptis pyramidalis (L.) Rich., 1817 ";"MOY"
82305;"Anacyclus clavatus";"Anacyclus clavatus (Desf.) Pers., 1807 ";"MOY"
82315;"Anacyclus radiatus";"Anacyclus radiatus Loisel., 1828 ";"FOR"
82318;"Anacyclus valentinus";"Anacyclus valentinus L., 1753 ";"FOR"
82350;"Anagyris foetida";"Anagyris foetida L., 1753 ";"FOR"
82356;"Anarrhinum bellidifolium";"Anarrhinum bellidifolium (L.) Willd., 1800 ";"MOY"
82357;"Anarrhinum corsicum";"Anarrhinum corsicum Jord. & Fourr., 1866 ";"FOR"
610704;"Anarrhinum laxiflorum";"Anarrhinum laxiflorum Boiss., 1838 ";"FOR"
907646;"Anchusa crispa subsp. crispa";"Anchusa crispa subsp. crispa Viv., 1825 ";"TFO"
907647;"Anchusa crispa subsp. valincoana";"Anchusa crispa subsp. valincoana Paradis, Piazza &  Quilichini, 2018 ";"TFO"
82376;"Anchusa crispa";"Anchusa crispa Viv., 1825 ";"TFO"
618756;"Anchusa italica";"Anchusa italica Retz., 1779 ";"MOY"
82391;"Anchusa officinalis";"Anchusa officinalis L., 1753 ";"MOY"
82408;"Anchusa undulata";"Anchusa undulata L., 1753 ";"FOR"
82420;"Andromeda polifolia";"Andromeda polifolia L., 1753 ";"MOY"
82439;"Andropogon distachyos";"Andropogon distachyos L., 1753 ";"MOY"
82476;"Androsace adfinis";"Androsace adfinis Biroli, 1820 ";"MOY"
82476;"Androsace adfinis subsp. adfinis";"Androsace adfinis subsp. adfinis Biroli, 1820 ";"FOR"
82487;"Androsace adfinis subsp. brigantiaca";"Androsace adfinis subsp. brigantiaca (Jord. & Fourr.)  Kress, 1981 ";"MOY"
82528;"Androsace adfinis subsp. puberula";"Androsace adfinis subsp. puberula (Jord. & Fourr.)  Kress, 1981 ";"MOY"
82478;"Androsace alpina";"Androsace alpina (L.) Lam., 1779 ";"MOY"
82492;"Androsace chaixii";"Androsace chaixii Gren., 1853 ";"FOR"
82498;"Androsace elongata subsp. breistrofferi";"Androsace elongata subsp. breistrofferi (Charpin &  Greuter) Molero & P.Monts., 1983 ";"TFO"
82503;"Androsace halleri";"Androsace halleri L., 1753 ";"MOY"
82504;"Androsace helvetica";"Androsace helvetica (L.) All., 1785 ";"MOY"
82509;"Androsace lactea";"Androsace lactea L., 1753 ";"MOY"
82516;"Androsace maxima";"Androsace maxima L., 1753 ";"MOY"
82519;"Androsace obtusifolia";"Androsace obtusifolia All., 1785 ";"MOY"
82529;"Androsace pubescens";"Androsace pubescens DC., 1805 ";"MOY"
82535;"Androsace septentrionalis";"Androsace septentrionalis L., 1753 ";"MOY"
82483;"Androsace vandellii";"Androsace vandellii (Turra) Chiov., 1919 ";"MOY"
82544;"Androsace villosa";"Androsace villosa L., 1753 ";"MOY"
82545;"Androsace vitaliana";"Androsace vitaliana (L.) Lapeyr., 1813 ";"MOY"
82562;"Andryala integrifolia";"Andryala integrifolia L., 1753 ";"MOY"
82571;"Andryala ragusina";"Andryala ragusina L., 1763 ";"TFO"
82600;"Anemone alpina";"Anemone alpina L., 1753 ";"MOY"
1056227;"Anemone alpina subsp. alpina";"Anemone alpina subsp. alpina L., 1753 ";"MOY"
139513;"Anemone alpina subsp. apiifolia";"Anemone alpina subsp. apiifolia (Scop.) O.BolÃ²s &  Vigo, 1974 ";"MOY"
82598;"Anemone apennina";"Anemone apennina L., 1753 ";"MOY"
82600;"Anemone baldensis";"Anemone baldensis L., 1767 ";"MOY"
116448;"Anemone halleri";"Anemone halleri All., 1773 ";"FOR"
101253;"Anemone hepatica";"Anemone hepatica L., 1753 ";"FAI"
82623;"Anemone hortensis";"Anemone hortensis L., 1753 ";"MOY"
139520;"Anemone montana";"Anemone montana Hoppe, 1826 ";"MOY"
82591;"Anemone narcissiflora";"Anemone narcissiflora L., 1753 ";"MOY"
82637;"Anemone nemorosa";"Anemone nemorosa L., 1753 ";"MOY"
82642;"Anemone palmata";"Anemone palmata L., 1753 ";"TFO"
NA;"NOMATCH";"Anemone pulsatilla subsp. bogenhardtiana (Rchb.)  Rouy & Foucaud, 1893 ";"FOR"
82656;"Anemone ranunculoides";"Anemone ranunculoides L., 1753 ";"MOY"
116456;"Anemone rubra";"Anemone rubra Lam., 1783 ";"MOY"
997908;"Anemone scherfelii subsp. cyrnea";"Anemone scherfelii subsp. cyrnea (Gamisans) B.Bock  & J.-M.Tison, 2012 ";"FOR"
82666;"Anemone trifolia";"Anemone trifolia L., 1753 ";"MOY"
116459;"Anemone vernalis";"Anemone vernalis L., 1753 ";"MOY"
