"CD_NOM";"NOM_VALIDE.x";"NOM_CITE";"ENJEU_CONSERVATION";"REGNE";"PHYLUM";"CLASSE";"ORDRE";"FAMILLE";"SOUS_FAMILLE";"TRIBU";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"CD_TAXSUP";"CD_SUP";"CD_REF";"CD_BA";"RANG";"LB_NOM";"LB_AUTEUR";"NOMENCLATURAL_COMMENT";"NOM_COMPLET";"NOM_COMPLET_HTML";"NOM_VALIDE.y";"NOM_VERN";"NOM_VERN_ENG";"HABITAT";"FR";"GF";"MAR";"GUA";"SM";"SB";"SPM";"MAY";"EPA";"REU";"SA";"TA";"TAAF";"PF";"NC";"WF";"CLI";"URL";"URL_INPN"
NA;"NOMATCH";"Isoetes duriei Bory, 1844 ";"FOR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
463602;"Puccinia jurineae-humilis";"Jurinea humilis (Desf.) DC., 1838 ";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Knautia timeroyii subsp. carpophylax (Jord.) B.Bock,  2012 ";"DD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Leucanthemum legreanum (Rouy) B.Bock & J.-  M.Tison, 2012 ";"TFO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Limonium auriculiursifolium (Pourr.) Druce, 1928 ";"TFO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Loncomelos narbonense (L.) Raf., 1840 ";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Minuartia villarii (Balb.) Wilczek & Chenevard, 1912 ";"MOY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;"NOMATCH";"Ophrys philippei Gren., 1859 ";"TFO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
463980;"Uromyces poae-alpinae";"Poa alpina L., 1753 ";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
463927;"Ustilago poae-nemoralis";"Poa nemoralis L., 1753 ";"FAI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
