"Espèce de référence";"Nom(s) cité(s) ";"Règne";
"Scleropodium touretii (Brid.) L.F.Koch, 1949";"Scleropodium touretii (Brid.) L.F.Koch";Plantae;
"Scleropodium touretii (Brid.) L.F.Koch, 1949";"Scleropodium touretii (Brid.) L.F.Koch, 1949";Plantae;
"Scobicia chevrieri (A. Villa & G.B. Villa, 1835)";"Scobicia chevrieri (A. Villa & G.B. Villa, 1835)";Animalia;
"Scobicia pustulata (Fabricius, 1801)";"Scobicia pustulata (Fabricius, 1801)";Animalia;
"Scolitantides orion (Pallas, 1771)";"Scolitantides orion (Pallas, 1771)";Animalia;
"Scolopax rusticola Linnaeus, 1758";"Scolopax rusticola";Animalia;
"Scopelophila cataractae (Mitt.) Broth., 1902";"Scopelophila cataractae (Mitt.) Broth.";Plantae;
"Scopelophila cataractae (Mitt.) Broth., 1902";"Scopelophila cataractae (Mitt.) Broth., 1902";Plantae;
"Scopelophila ligulata (Spruce) Spruce, 1881";"Scopelophila ligulata (Spruce) Spruce, 1881";Plantae;
"Scorpidium cossonii (Schimp.) Hedenäs, 1989";"Scorpidium cossonii (Schimp.) Hedenäs";Plantae;
"Scorpidium cossonii (Schimp.) Hedenäs, 1989";"Scorpidium cossonii (Schimp.) Hedenäs, 1989";Plantae;
"Scorpidium revolvens (Sw. ex anon.) Rubers";"Scorpidium revolvens (Sw. ex anon.) Rubers";Plantae;
"Scorpidium revolvens (Sw. ex anon.) Rubers";"Scorpidium revolvens (Sw. ex anon.) Rubers";Plantae;
"Scorpidium scorpioides (Hedw.) Limpr., 1899";"Scorpidium scorpioides (Hedw.) Limpr.";Plantae;
"Scorpidium scorpioides (Hedw.) Limpr., 1899";"Scorpidium scorpioides (Hedw.) Limpr., 1899";Plantae;
"Scorpiurium circinatum (Brid.) M.Fleisch. & Loeske, 1907";"Scorpiurium circinatum (Brid.) M.Fleisch. & Loeske";Plantae;
"Scorpiurium circinatum (Brid.) M.Fleisch. & Loeske, 1907";"Scorpiurium circinatum (Brid.) M.Fleisch. & Loeske, 1907";Plantae;
"Scorpiurus subvillosus L., 1753";"Scorpiurus subvillosus L., 1753";Plantae;
"Scorzonera austriaca Willd., 1803 subsp. austriaca";"Scorzonera austriaca subsp. austriaca Willd., 1803";Plantae;
"Scorzonera austriaca subsp. bupleurifolia (Pouzolz ex Timb.-Lagr. & Jeanb.) Bonnier, 1923";"Scorzonera austriaca subsp. bupleurifolia (Pouzolz ex Timb.-Lagr. & Jeanb.) Bonnier, 1923";Plantae;
"Scorzonera austriaca Willd., 1803";"Scorzonera austriaca Willd., 1803";Plantae;
"Scorzonera hirsuta L., 1771";"Scorzonera hirsuta L., 1771";Plantae;
"Scorzonera hispanica L., 1753";"Scorzonera hispanica L., 1753";Plantae;
"Scorzonera hispanica subsp. asphodeloides (Wallr.) Arcang., 1882";"Scorzonera hispanica subsp. asphodeloides (Wallr.) Arcang., 1882";Plantae;
"Scorzonera humilis L., 1753";"Scorzonera humilis L., 1753";Plantae;
"Scrophularia alpestris J.Gay ex Benth., 1846";"Scrophularia alpestris J.Gay ex Benth., 1846";Plantae;
"Scrophularia oblongifolia subsp. umbrosa (Dumort.) Gamisans, 1992";"Scrophularia oblongifolia subsp. umbrosa (Dumort.) Gamisans, 1992";Plantae;
"Scrophularia provincialis Rouy, 1909";"Scrophularia provincialis Rouy, 1909";Plantae;
"Scutellaria alpina L., 1753";"Scutellaria alpina L., 1753";Plantae;
"Scutellaria hastifolia L., 1753";"Scutellaria hastifolia L., 1753";Plantae;
"Scutellaria minor Huds., 1762";"Scutellaria minor Huds., 1762";Plantae;
"Petrosedum amplexicaule (DC.) Velayos, 1988";"Sedum amplexicaule DC., 1808";;
"Sedum cespitosum (Cav.) DC., 1828";"Sedum caespitosum (Cav.) DC., 1828";Plantae;
"Petrosedum forsterianum (Sm.) Grulich, 1984";"Sedum forsterianum Sm., 1808";;
"Petrosedum ochroleucum (Chaix) Niederle, 2014";"Sedum ochroleucum Chaix, 1785";;
"Sedum villosum L., 1753";"Sedum villosum L., 1753";Plantae;
"Selaginella helvetica (L.) Spring, 1838";"Selaginella helvetica (L.) Spring, 1838";Plantae;
"Seligeria acutifolia Lindb., 1864";"Seligeria acutifolia Lindb., 1864";Plantae;
"Seligeria brevifolia (Lindb.) Lindb., 1890";"Seligeria brevifolia (Lindb.) Lindb., 1890";Plantae;
"Seligeria calcarea (Hedw.) Bruch & Schimp., 1849";"Seligeria calcarea (Hedw.) Bruch & Schimp.";Plantae;
"Seligeria calcarea (Hedw.) Bruch & Schimp., 1849";"Seligeria calcarea (Hedw.) Bruch & Schimp., 1849";Plantae;
"Seligeria carniolica (Breidl. & Beck) Nyholm, 1969";"Seligeria carniolica (Breidl. & Beck) Nyholm";Plantae;
"Seligeria carniolica (Breidl. & Beck) Nyholm, 1969";"Seligeria carniolica (Breidl. & Beck) Nyholm, 1969";Plantae;
"Seligeria donniana (Sm.) Müll.Hal., 1848";"Seligeria donniana (Sm.) Müll.Hal.";Plantae;
"Seligeria donniana (Sm.) Müll.Hal., 1848";"Seligeria donniana (Sm.) Müll.Hal., 1848";Plantae;
"Seligeria patula (Lindb.) I.Hagen";"Seligeria patula (Lindb.) I.Hagen";Plantae;
"Seligeria pusilla (Hedw.) Bruch & Schimp., 1846";"Seligeria pusilla (Hedw.) Bruch & Schimp.";Plantae;
"Seligeria pusilla (Hedw.) Bruch & Schimp., 1846";"Seligeria pusilla (Hedw.) Bruch & Schimp., 1846";Plantae;
"Blindiadelphus recurvatus (Hedw.) Fedosov & Ignatov, 2017";"Seligeria recurvata (Hedw.) Bruch & Schimp.";;
"Seligeria trifaria (Brid.) Lindb., 1863";"Seligeria trifaria (Brid.) Lindb.";Plantae;
"Seligeria trifaria (Brid.) Lindb., 1863";"Seligeria trifaria (Brid.) Lindb., 1863";Plantae;
"Selinum carvifolia (L.) L., 1762";"Selinum carvifolia (L.) L., 1762";Plantae;
"Semanotus laurasii (Lucas, 1852)";"Semanotus laurasii (Lucas, 1852)";Animalia;
"Semanotus undatus (Linnaeus, 1758)";"Semanotus undatus (Linnaeus, 1758)";Animalia;
"Sempervivum x piliferum Jord., 1849";"Sempervivum fauconnetii Reut., 1861";;
"Sempervivum tectorum L., 1753 subsp. tectorum";"Sempervivum tectorum subsp. arvernense (Lecoq & Lamotte) Rouy & E.G.Camus, 1901";;
"Senecio cacaliaster Lam., 1779";"Senecio cacaliaster Lam., 1779";Plantae;
"Senecio doria L., 1759 [nom. et typ. cons.]";"Senecio doria L., 1759";Plantae;
"Senecio doronicum (L.) L., 1759";"Senecio doronicum (L.) L., 1759";Plantae;
"Senecio gallicus Vill., 1785";"Senecio gallicus Vill., 1785";Plantae;
"Senecio gerardi Gren. & Godr., 1850";"Senecio gerardi Gren. & Godr., 1850";Plantae;
"Sepiana sepium (Yersin, 1854)";"Sepiana sepium (Yersin, 1854)";Animalia;
"Sepiana sepium (Yersin, 1854)";"Sepiana sepium (Yersin, 1854)";Animalia;
"Serapias lingua L., 1753";"Serapias lingua L., 1753";Plantae;
"Serapias vomeracea (Burm.f.) Briq., 1910";"Serapias vomeracea (Burm.f.) Briq., 1910";Plantae;
"Sericus brunneus (Linnaeus, 1758)";"Sericeus brunneus";Animalia;
"Serpoleskea confervoides (Brid.) Loeske, 1904";"Serpoleskea confervoides (Brid.) Loeske";Plantae;
"Serpoleskea confervoides (Brid.) Loeske, 1904";"Serpoleskea confervoides (Brid.) Loeske, 1904";Plantae;
"Serropalpus barbatus (Schaller, 1783)";"Serropalpus barbatus (Schaller, 1783)";Animalia;
"Sesamoides purpurascens (L.) G.López, 1986";"Sesamoides purpurascens (L.) G.López, 1986";Plantae;
"Sesamoides pygmaea (Scheele) Kuntze, 1891";"Sesamoides pygmaea var. sesamoides (L.) Kerguélen, 1993";;
"Seseli annuum L., 1753";"Seseli annuum L., 1753";Plantae;
"Seseli annuum L., 1753 subsp. annuum";"Seseli annuum subsp. annuum L., 1753";Plantae;
"Seseli annuum subsp. carvifolium (Vill.) P.Fourn., 1937";"Seseli annuum subsp. carvifolium (Vill.) P.Fourn., 1937";Plantae;
"Seseli longifolium subsp. intermedium Reduron, 2008";"Seseli longifolium subsp. intermedium Reduron, 2008";Plantae;
"Sesleria ovata (Hoppe) A.Kern., 1881";"Sesleria ovata (Hoppe) A.Kern., 1881";Plantae;
"Sibbaldia procumbens L., 1753";"Sibbaldia procumbens L., 1753";Plantae;
"Silene ciliata Pourr., 1788";"Silene ciliata Pourr., 1788";Plantae;
"Silene conica L., 1753";"Silene conica L., 1753";Plantae;
"Silene gallica L., 1753 [nom. cons.]";"Silene gallica L., 1753";Plantae;
"Silene inaperta L., 1753";"Silene inaperta L., 1753";Plantae;
"Silene nemoralis Waldst. & Kit., 1812";"Silene nemoralis Waldst. & Kit., 1812";Plantae;
"Silene noctiflora L., 1753";"Silene noctiflora L., 1753";Plantae;
"Silene nocturna L., 1753";"Silene nocturna L., 1753";Plantae;
"Silene paradoxa L., 1763";"Silene paradoxa L., 1763";Plantae;
"Silene portensis L., 1753";"Silene portensis L., 1753";Plantae;
"Silene vallesia L., 1759";"Silene vallesia L., 1759";Plantae;
"Silene viridiflora L., 1762";"Silene viridiflora L., 1762";Plantae;
"Sinodendron cylindricum (Linnaeus, 1758)";"Sinodendron cylindricum (Linnaeus, 1758)";Animalia;
"Sinoxylon perforans (Schrank, 1789)";"Sinoxylon perforans (Schrank, 1789)";Animalia;
"Sison amomum L., 1753";"Sison amomum L., 1753";Plantae;
"Sison segetum L., 1753";"Sison segetum L., 1753";Plantae;
"Sisymbrella aspera (L.) Spach, 1838";"Sisymbrella aspera (L.) Spach, 1838";Plantae;
"Sisymbrella aspera (L.) Spach, 1838 subsp. aspera";"Sisymbrella aspera subsp. aspera (L.) Spach, 1838";Plantae;
"Sisymbrium irio L., 1753";"Sisymbrium irio L., 1753";Plantae;
"Sisymbrium orientale L., 1756 subsp. orientale";"Sisymbrium orientale subsp. orientale L., 1756";Plantae;
"Sisymbrium strictissimum L., 1753";"Sisymbrium strictissimum L., 1753";Plantae;
"Sium latifolium L., 1753";"Sium latifolium L., 1753";Plantae;
"Soldanella alpina L., 1753";"Soldanella alpina L., 1753";Plantae;
"Solenostoma confertissimum (Nees) Schljakov, 1981";"Solenostoma confertissimum (Nees) Schljakov";Plantae;
"Solenostoma confertissimum (Nees) Schljakov, 1981";"Solenostoma confertissimum (Nees) Schljakov, 1981";Plantae;
"Solenostoma gracillimum (Sm.) R.M.Schust., 1969";"Solenostoma gracillimum (Sm.) R.M.Schust.";Plantae;
"Solenostoma gracillimum (Sm.) R.M.Schust., 1969";"Solenostoma gracillimum (Sm.) R.M.Schust., 1969";Plantae;
"Solenostoma hyalinum (Lyell) Mitt., 1870";"Solenostoma hyalinum (Lyell) Mitt.";Plantae;
"Solenostoma hyalinum (Lyell) Mitt., 1870";"Solenostoma hyalinum (Lyell) Mitt., 1870";Plantae;
"Solenostoma obovatum (Nees) C.Massal., 1903";"Solenostoma obovatum (Nees) C.Massal.";Plantae;
"Solenostoma obovatum (Nees) C.Massal., 1903";"Solenostoma obovatum (Nees) C.Massal., 1903";Plantae;
"Solenostoma sphaerocarpum (Hook.) Steph., 1901";"Solenostoma sphaerocarpum (Hook.) Steph.";Plantae;
"Solenostoma sphaerocarpum (Hook.) Steph., 1901";"Solenostoma sphaerocarpum (Hook.) Steph., 1901";Plantae;
"Solenostoma obovatum (Nees) C.Massal., 1903";"Solenostoma subellipticum (Lindb. ex Kaal.) R.M.Schust.";;
"Somateria mollissima (Linnaeus, 1758)";"Somateria mollissima";Animalia;
"Somatochlora alpestris (Selys, 1840)";"Somatochlora alpestris";Animalia;
"Somatochlora arctica (Zetterstedt, 1840)";"Somatochlora arctica";Animalia;
"Somatochlora flavomaculata (Vander Linden, 1825)";"Somatochlora flavomaculata";Animalia;
"Somatochlora metallica (Vander Linden, 1825)";"Somatochlora metallica";Animalia;
"Sonchus bulbosus (L.) N.Kilian & Greuter, 2003 subsp. bulbosus";"Sonchus bulbosus subsp. bulbosus (L.) N.Kilian & Greuter, 2003";Plantae;
"Sonchus maritimus L., 1759";"Sonchus maritimus L., 1759";Plantae;
"Sonchus palustris L., 1753";"Sonchus palustris L., 1753";Plantae;
"Chamaemespilus alpina (Mill.) K.R.Robertson & J.B.Phipps, 1991";"Sorbus chamaemespilus (L.) Crantz, 1763";;
"Hedlundia mougeotii (Soy.-Will. & Godr.) Sennikov & Kurtto, 2017";"Sorbus mougeotii Soy.-Will. & Godr., 1858";;
"Sorex alpinus Schinz, 1837";"Sorex alpinus";Animalia;
"Sorex antinorii Bonaparte, 1840";"Sorex antinorii";Animalia;
"Sorex araneus Linnaeus, 1758";"Sorex araneus";Animalia;
"Southbya tophacea (Spruce) Spruce, 1850";"Southbya tophacea (Spruce) Spruce";Plantae;
"Southbya tophacea (Spruce) Spruce, 1850";"Southbya tophacea (Spruce) Spruce, 1850";Plantae;
"Sparganium angustifolium Michx., 1803";"Sparganium angustifolium Michx., 1803";Plantae;
"Sparganium emersum Rehmann, 1871";"Sparganium emersum Rehmann, 1871";Plantae;
"Sparganium natans L., 1753";"Sparganium natans L., 1753";Plantae;
"Sparganium natans L., 1753";"Sparganium natans L., 1754";;
"Spatula clypeata (Linnaeus, 1758)";"Spatula clypeata";Animalia;
"Spergularia media (L.) C.Presl, 1826";"Spergula media (L.) Bartl. & H.L.Wendl., 1825";;
"Spergula morisonii Boreau, 1847";"Spergula morisonii Boreau, 1847";Plantae;
"Spergula pentandra L., 1753";"Spergula pentandra L., 1753";Plantae;
"Spergularia segetalis (L.) G.Don, 1831";"Spergula segetalis (L.) Vill., 1789";;
"Sphaeriestes aeratus (Mulsant, 1859)";"Sphaeriestes aeratus (Mulsant, 1859)";Animalia;
"Sphaeriestes castaneus (Panzer, 1796)";"Sphaeriestes castaneus (Panzer, 1796)";Animalia;
"Sphaeriestes stockmanni (Biström, 1977)";"Sphaeriestes stockmanni (Biström, 1977)";Animalia;
"Sphaerites glabratus (Fabricius, 1792)";"Sphaerites glabratus (Fabricius, 1792)";Animalia;
"Sphaerium solidum (Normand, 1844)";"Sphaerium solidum";Animalia;
"Sphaerocarpos michelii Bellardi, 1792";"Sphaerocarpos michelii Bellardi";Plantae;
"Sphaerocarpos michelii Bellardi, 1792";"Sphaerocarpos michelii Bellardi, 1792";Plantae;
"Sphaerocarpos texanus Austin, 1877";"Sphaerocarpos texanus Austin";Plantae;
"Sphaerocarpos texanus Austin, 1877";"Sphaerocarpos texanus Austin, 1877";Plantae;
"Sphagnum affine Renauld & Cardot, 1885";"Sphagnum affine Renauld & Cardot";Plantae;
"Sphagnum affine Renauld & Cardot, 1885";"Sphagnum affine Renauld & Cardot, 1885";Plantae;
"Sphagnum angustifolium (C.E.O.Jensen ex Russow) C.E.O.Jensen";"Sphagnum angustifolium (C.E.O.Jensen ex Russow) C.E.O.Jensen";Plantae;
"Sphagnum auriculatum Schimp., 1857";"Sphagnum auriculatum Schimp.";Plantae;
"Sphagnum auriculatum Schimp., 1857";"Sphagnum auriculatum Schimp., 1857";Plantae;
"Sphagnum centrale C.E.O.Jensen, 1896";"Sphagnum centrale C.E.O.Jensen, 1896";Plantae;
"Sphagnum compactum Lam. & DC., 1805";"Sphagnum compactum Lam. & DC., 1805";Plantae;
"Sphagnum contortum Schultz, 1819";"Sphagnum contortum Schultz, 1819";Plantae;
"Sphagnum cuspidatum Ehrh. ex Hoffm., 1796";"Sphagnum cuspidatum Ehrh. ex Hoffm., 1796";Plantae;
"Sphagnum divinum Flatberg & K.Hassel, 2018";"Sphagnum divinum Flatberg & K.Hassel, 2018";Plantae;
"Sphagnum fallax (H.Klinggr.) H.Klinggr., 1880";"Sphagnum fallax (H.Klinggr.) H.Klinggr., 1880";Plantae;
"Sphagnum fimbriatum Wilson, 1847";"Sphagnum fimbriatum Wilson, 1847";Plantae;
"Sphagnum flexuosum Dozy & Molk., 1851";"Sphagnum flexuosum Dozy & Molk., 1851";Plantae;
"Sphagnum fuscum (Schimp.) H.Klinggr., 1872";"Sphagnum fuscum (Schimp.) H.Klinggr., 1872";Plantae;
"Sphagnum girgensohnii Russow, 1865";"Sphagnum girgensohnii Russow, 1865";Plantae;
"Sphagnum inundatum Russow, 1894";"Sphagnum inundatum Russow";Plantae;
"Sphagnum inundatum Russow, 1894";"Sphagnum inundatum Russow, 1894";Plantae;
"Sphagnum majus (Russow) C.E.O.Jensen, 1890";"Sphagnum majus (Russow) C.E.O.Jensen, 1890";Plantae;
"Sphagnum majus subsp. norvegicum Flatberg, 1987";"Sphagnum majus subsp. norvegicum Flatberg";Plantae;
"Sphagnum majus subsp. norvegicum Flatberg, 1987";"Sphagnum majus subsp. norvegicum Flatberg, 1987";Plantae;
"Sphagnum medium Limpr., 1881";"Sphagnum medium Limpr., 1881";Plantae;
"Sphagnum molle Sull., 1846";"Sphagnum molle Sull.";Plantae;
"Sphagnum molle Sull., 1846";"Sphagnum molle Sull., 1846";Plantae;
"Sphagnum obtusum Warnst., 1877";"Sphagnum obtusum Warnst.";Plantae;
"Sphagnum obtusum Warnst., 1877";"Sphagnum obtusum Warnst., 1877";Plantae;
"Sphagnum palustre L., 1753";"Sphagnum palustre L.";Plantae;
"Sphagnum palustre L., 1753";"Sphagnum palustre L., 1753";Plantae;
"Sphagnum papillosum Lindb., 1872";"Sphagnum papillosum Lindb., 1872";Plantae;
"Sphagnum platyphyllum (Lindb. ex Braithw.) Warnst., 1884";"Sphagnum platyphyllum (Lindb. ex Braithw.) Warnst., 1884";Plantae;
"Sphagnum quinquefarium (Lindb. in Braithw.) Warnst., 1886";"Sphagnum quinquefarium (Lindb. in Braithw.) Warnst., 1886";Plantae;
"Sphagnum recurvum P.Beauv., 1805";"Sphagnum recurvum P.Beauv.";Plantae;
"Sphagnum recurvum P.Beauv., 1805";"Sphagnum recurvum P.Beauv., 1805";Plantae;
"Sphagnum rubellum Wilson, 1855";"Sphagnum rubellum Wilson, 1855";Plantae;
"Sphagnum russowii Warnst., 1886";"Sphagnum russowii Warnst., 1886";Plantae;
"Sphagnum squarrosum Crome, 1803";"Sphagnum squarrosum Crome, 1803";Plantae;
"Sphagnum subnitens Russow & Warnst., 1888";"Sphagnum subnitens Russow & Warnst., 1888";Plantae;
"Sphagnum subsecundum Nees, 1819";"Sphagnum subsecundum Nees";Plantae;
"Sphagnum subsecundum Nees, 1819";"Sphagnum subsecundum Nees, 1819";Plantae;
"Sphagnum tenellum (Brid.) Pers. ex Brid., 1818";"Sphagnum tenellum (Brid.) Pers. ex Brid., 1818";Plantae;
"Sphagnum teres (Schimp.) Ångstr., 1861";"Sphagnum teres (Schimp.) Ångstr., 1861";Plantae;
"Sphagnum warnstorfii Russow, 1888";"Sphagnum warnstorfii Russow, 1888";Plantae;
"Sphingonotus caerulans (Linnaeus, 1767)";"Sphingonotus caerulans (Linnaeus, 1767)";Animalia;
"Sphingonotus caerulans (Linnaeus, 1767)";"Sphingonotus caerulans (Linnaeus, 1767)";Animalia;
"Spiraea hypericifolia subsp. obovata (Waldst. & Kit. ex Willd.) H.Huber, 1964";"Spiraea hypericifolia subsp. obovata (Waldst. & Kit. ex Willd.) H.Huber, 1964";Plantae;
"Spiranthes aestivalis (Poir.) Rich., 1817";"Spiranthes aestivalis (Poir.) Rich., 1817";Plantae;
"Spiranthes spiralis (L.) Chevall., 1827";"Spiranthes spiralis (L.) Chevall., 1827";Plantae;
"Alburnoides bipunctatus (Bloch, 1782)";"Spirlinus bipunctatus";;
"Splachnum ampullaceum Hedw., 1801";"Splachnum ampullaceum Hedw., 1801";Plantae;
"Splachnum sphaericum Hedw., 1801";"Splachnum sphaericum Hedw., 1801";Plantae;
"Stachys heraclea All., 1785";"Stachys heraclea All., 1785";Plantae;
"Staehelina dubia L., 1753";"Staehelina dubia L., 1753";Plantae;
"Stegonia latifolia (Schwägr.) Venturi ex Broth., 1923";"Stegonia latifolia (Schwägr.) Venturi ex Broth., 1923";Plantae;
"Stellaria palustris Ehrh. ex Hoffm., 1791";"Stellaria palustris Ehrh. ex Hoffm., 1791";Plantae;
"Stenagostus rufus (De Geer, 1774)";"Stenagostus rufus (De Geer, 1774)";Animalia;
"Stenobothrus fischeri glaucescens Bolívar, 1897";"Stenobothrus fischeri glaucescens Bolívar, 1897";Animalia;
"Stenobothrus nigromaculatus nigromaculatus (Herrich-Schäffer, 1840)";"Stenobothrus nigromaculatus nigromaculatus (Herrich-Schäffer, 1840)";Animalia;
"Stenobothrus nigromaculatus nigromaculatus (Herrich-Schäffer, 1840)";"Stenobothrus nigromaculatus nigromaculatus (Herrich-Schäffer, 1840)";Animalia;
"Stenobothrus rubicundulus Kruseman & Jeekel, 1967";"Stenobothrus rubicundulus Kruseman & Jeekel, 1968";Animalia;
"Stenobothrus stigmaticus stigmaticus (Rambur, 1838)";"Stenobothrus stigmaticus stigmaticus (Rambur, 1838)";Animalia;
"Stenomax aeneus (Scopoli, 1763)";"Stenomax aeneus (Scopoli, 1763)";Animalia;
"Stenomax meridianus (Mulsant, 1854)";"Stenomax meridianus (Mulsant, 1854)";Animalia;
"Stenomax piceus (J. Sturm, 1826)";"Stenomax piceus (J. Sturm, 1826)";Animalia;
"Stenostola dubia (Laicharting, 1784)";"Stenostola dubia (Laicharting, 1784)";Animalia;
"Stereodon hamulosus (Schimp.) Lindb., 1872";"Stereodon hamulosus (Schimp.) Lindb., 1872";Plantae;
"Stereodon pratensis (W.D.J.Koch ex Spruce) Warnst., 1906";"Stereodon pratensis (W.D.J.Koch ex Spruce) Warnst., 1906";Plantae;
"Sternula albifrons (Pallas, 1764)";"Sterna albifrons";;
"Sterna hirundo Linnaeus, 1758";"Sterna hirundo";Animalia;
"Stictoleptura erythroptera (Hagenbach, 1822)";"Stictoleptura erythroptera (Hagenbach, 1822)";Animalia;
"Stictoleptura fontenayi (Mulsant, 1839)";"Stictoleptura fontenayi (Mulsant, 1839)";Animalia;
"Stictoleptura scutellata (Fabricius, 1781)";"Stictoleptura scutellata (Fabricius, 1781)";Animalia;
"Stictoleptura trisignata (Fairmaire, 1852)";"Stictoleptura trisignata (Fairmaire, 1852)";Animalia;
"Stipa capillata L., 1762";"Stipa capillata L., 1762";Plantae;
"Stipa eriocaulis Borbás, 1878";"Stipa eriocaulis Borbás, 1878";Plantae;
"Stipa gallica Čelak., 1883";"Stipa gallica Celak., 1883";Plantae;
"Stipa pennata L., 1753";"Stipa pennata L., 1753";Plantae;
"Straminergon stramineum (Dicks. ex Brid.) Hedenäs, 1993";"Straminergon stramineum (Dicks. ex Brid.) Hedenäs";Plantae;
"Straminergon stramineum (Dicks. ex Brid.) Hedenäs, 1993";"Straminergon stramineum (Dicks. ex Brid.) Hedenäs, 1993";Plantae;
"Streblotrichum convolutum var. commutatum (Jur.) J.J.Amann, 1918";"Streblotrichum commutatum (Jur.) Hilp., 1933";;
"Streptopelia turtur (Linnaeus, 1758)";"Streptopelia turtur";Animalia;
"Streptopus amplexifolius (L.) DC., 1805";"Streptopus amplexifolius (L.) DC., 1805";Plantae;
"Stuckenia filiformis (Pers.) Börner, 1912";"Stuckenia filiformis (Pers.) Börner, 1912";Plantae;
"Suncus etruscus (Savi, 1822)";"Suncus etruscus";Animalia;
"Swertia perennis L., 1753";"Swertia perennis L., 1753";Plantae;
"Sylvia borin (Boddaert, 1783)";"Sylvia borin";Animalia;
"Sylvia cantillans (Pallas, 1764)";"Sylvia cantillans";Animalia;
"Sylvia curruca (Linnaeus, 1758)";"Sylvia curruca";Animalia;
"Sylvia hortensis (Gmelin, 1789)";"Sylvia hortensis";Animalia;
"Sylvia melanocephala (Gmelin, 1789)";"Sylvia melanocephala";Animalia;
"Sylvia undata (Boddaert, 1783)";"Sylvia undata";Animalia;
"Symbiotes latus L. Redtenbacher, 1847";"Symbiotes latus L. Redtenbacher, 1847";Animalia;
"Sympecma fusca (Vander Linden, 1820)";"Sympecma fusca";Animalia;
"Sympetrum danae (Sulzer, 1776)";"Sympetrum danae";Animalia;
"Sympetrum depressiusculum (Selys, 1841)";"Sympetrum depressiusculum";Animalia;
"Sympetrum flaveolum (Linnaeus, 1758)";"Sympetrum flaveolum";Animalia;
"Sympetrum fonscolombii (Selys, 1840)";"Sympetrum fonscolombii";Animalia;
"Sympetrum meridionale (Selys, 1841)";"Sympetrum meridionale";Animalia;
"Sympetrum pedemontanum (O.F. Müller in Allioni, 1766)";"Sympetrum pedemontanum";Animalia;
"Sympetrum vulgatum (Linnaeus, 1758)";"Sympetrum vulgatum";Animalia;
"Synchita mediolanensis A. Villa & G.B. Villa, 1833";"Synchita mediolanensis A. Villa & G.B. Villa, 1833";Animalia;
"Synchita separanda (Reitter, 1882)";"Synchita separanda (Reitter, 1882)";Animalia;
"Synchita variegata Hellwig, 1792";"Synchita variegata Hellwig, 1792";Animalia;
"Syntrichia caninervis Mitt., 1859";"Syntrichia caninervis Mitt., 1859";Plantae;
"Syntrichia caninervis var. astrakhanica Ignatov, Ignatova & Suragina, 2003";"Syntrichia caninervis var. astrakhanica Ignatov, Ignatova & Suragina, 2003";Plantae;
"Syntrichia caninervis Mitt., 1859 var. caninervis";"Syntrichia caninervis var. caninervis Mitt., 1859";Plantae;
"Syntrichia caninervis var. gypsophila (J.J.Amann ex G.Roth) Ochyra, 1992";"Syntrichia caninervis var. gypsophila (J.J.Amann ex G.Roth) Ochyra, 1992";Plantae;
"Syntrichia fragilis (Taylor) Ochyra, 1992";"Syntrichia fragilis (Taylor) Ochyra";Plantae;
"Syntrichia fragilis (Taylor) Ochyra, 1992";"Syntrichia fragilis (Taylor) Ochyra, 1992";Plantae;
"Syntrichia latifolia (Bruch ex Hartm.) Huebener, 1833";"Syntrichia latifolia (Bruch ex Hartm.) Huebener, 1833";Plantae;
"Syntrichia minor (Bizot) M.T.Gallego, J.Guerra, M.J.Cano, Ros & Sánchez-Moya";"Syntrichia minor (Bizot) M.T.Gallego, J.Guerra, M.J.Cano, Ros & Sánchez-Moya";Plantae;
"Syntrichia minor (Bizot) M.T.Gallego, J.Guerra, M.J.Cano, Ros & Sánchez-Moya";"Syntrichia minor (Bizot) M.T.Gallego, J.Guerra, M.J.Cano, Ros & Sánchez-Moya";Plantae;
"Syntrichia norvegica F.Weber, 1804";"Syntrichia norvegica F.Weber";Plantae;
"Syntrichia norvegica F.Weber, 1804";"Syntrichia norvegica F.Weber, 1804";Plantae;
"Syntrichia subpapillosissima (Bizot & R.B.Pierrot ex W.A.Kramer) M.T.Gallego & J.Guerra, 2002";"Syntrichia subpapillosissima (Bizot & R.B.Pierrot ex W.A.Kramer) M.T.Gallego & J.Guerra, 2002";Plantae;
"Syntrichia virescens (De Not.) Ochyra, 1992";"Syntrichia virescens (De Not.) Ochyra";Plantae;
"Syntrichia virescens (De Not.) Ochyra, 1992";"Syntrichia virescens (De Not.) Ochyra, 1992";Plantae;
"Syzygiella autumnalis (DC.) K.Feldberg, Váňa, Hentschel & Heinrichs, 2010";"Syzygiella autumnalis (DC.) K.Feldberg, Váňa, Hentschel & Heinrichs";Plantae;
"Syzygiella autumnalis (DC.) K.Feldberg, Váňa, Hentschel & Heinrichs, 2010";"Syzygiella autumnalis (DC.) K.Feldberg, Váňa, Hentschel & Heinrichs, 2010";Plantae;
"Tachybaptus ruficollis (Pallas, 1764)";"Tachybaptus ruficollis";Animalia;
"Tachymarptis melba (Linnaeus, 1758)";"Tachymarptis melba";Animalia;
"Tadarida teniotis (Rafinesque, 1814)";"Tadarida teniotis";Animalia;
"Tadorna tadorna (Linnaeus, 1758)";"Tadorna tadorna";Animalia;
"Taraxacum bessarabicum (Hornem.) Hand.-Mazz., 1907";"Taraxacum bessarabicum (Hornem.) Hand.-Mazz., 1907";Plantae;
