"Espèce de référence";"Nom(s) cité(s) ";"Règne";
"Allium ericetorum Thore, 1803";"Allium ericetorum Thore, 1803";Plantae;
"Allium flavum L., 1753";"Allium flavum L., 1753";Plantae;
"Allium flexum Waldst. & Kit., 1812";"Allium flexum Waldst. & Kit., 1812";Plantae;
"Allium longispathum Redouté, 1811";"Allium longispathum D.Delaroche, 1811";;
"Allium moschatum L., 1753";"Allium moschatum L., 1753";Plantae;
"Allium narcissiflorum Vill., 1779";"Allium narcissiflorum Vill., 1779";Plantae;
"Allium oporinanthum Brullo, Pavone & Salmeri, 1977";"Allium oporinanthum Brullo, Pavone & Salmeri, 1977";Plantae;
"Allium pallens L., 1762";"Allium pallens L., 1762";Plantae;
"Allium roseum L., 1753 subsp. roseum";"Allium roseum L. subsp. roseum";Plantae;
"Allium rotundum L., 1762";"Allium rotundum L., 1762";Plantae;
"Allium scaberrimum J.Serres, 1857";"Allium scaberrimum J.Serres, 1857";Plantae;
"Allium scorodoprasum L., 1753";"Allium scorodoprasum L., 1753";Plantae;
"Allium strictum Schrad., 1809";"Allium strictum Schrad., 1809";Plantae;
"Allium victorialis L., 1753";"Allium victorialis L., 1753";Plantae;
"Allonyx quadrimaculatus (Schaller, 1783)";"Allonyx quadrimaculatus (Schaller, 1783)";Animalia;
"Oeosporangium tinaei (Tod.) Fraser-Jenk., 2017";"Allosorus tinaei (Tod.) Christenh., 2012";;
"Aloina bifrons (De Not.) Delgad., 1973";"Aloina bifrons (De Not.) Delgad.";Plantae;
"Aloina bifrons (De Not.) Delgad., 1973";"Aloina bifrons (De Not.) Delgad., 1973";Plantae;
"Aloina brevirostris (Hook. & Grev.) Kindb., 1883";"Aloina brevirostris (Hook. & Grev.) Kindb., 1883";Plantae;
"Aloina rigida (Hedw.) Limpr., 1888";"Aloina rigida (Hedw.) Limpr., 1888";Plantae;
"Alopecurus aequalis Sobol., 1799";"Alopecurus aequalis Sobol., 1799";Plantae;
"Alopecurus arundinaceus Poir., 1808";"Alopecurus arundinaceus Poir., 1808";Plantae;
"Alopecurus bulbosus Gouan, 1762 subsp. bulbosus";"Alopecurus bulbosus subsp. bulbosus Gouan, 1762";Plantae;
"Alopecurus geniculatus L., 1753";"Alopecurus geniculatus L., 1753";Plantae;
"Alopecurus rendlei Eig, 1937";"Alopecurus rendlei Eig, 1937";Plantae;
"Alosa agone (Scopoli, 1786)";"Alosa agone";Animalia;
"Alosa alosa (Linnaeus, 1758)";"Alosa alosa";Animalia;
"Alosa alosa (Linnaeus, 1758)";"Alosa alosa";Animalia;
"Alosa fallax (Lacepède, 1803)";"Alosa fallax";Animalia;
"Althaea cannabina L., 1753";"Althaea cannabina L., 1753";Plantae;
"Althaea officinalis L., 1753";"Althaea officinalis L., 1753";Plantae;
"Alyssum montanum L., 1753 [nom. et typ. cons.]";"Alyssum montanum L., 1753";Plantae;
"Alyssum orophilum Jord. & Fourr., 1868";"Alyssum orophilum Jord. & Fourr., 1868";Plantae;
"Alyssum rhodanense Jord. & Fourr., 1868";"Alyssum rhodanense Jord. & Fourr., 1868";Plantae;
"Alyssum serpyllifolium Desf., 1799";"Alyssum serpyllifolium Desf., 1799";Plantae;
"Alyssum simplex Rudolphi, 1799";"Alyssum simplex Rudolphi, 1799";Plantae;
"Alytes obstetricans (Laurenti, 1768)";"Alytes obstetricans";Animalia;
"Amblyodon dealbatus (Hedw.) P.Beauv., 1804";"Amblyodon dealbatus (Hedw.) P.Beauv.";Plantae;
"Amblyodon dealbatus (Hedw.) P.Beauv., 1804";"Amblyodon dealbatus (Hedw.) P.Beauv., 1804";Plantae;
"Ammi majus L., 1753";"Ammi majus L., 1753";Plantae;
"Ampedus auripes (Reitter, 1895)";"Ampedus auripes (Reitter, 1895)";Animalia;
"Ampedus balteatus (Linnaeus, 1758)";"Ampedus balteatus (Linnaeus, 1758)";Animalia;
"Ampedus brunnicornis Germar, 1844";"Ampedus brunnicornis Germar, 1844";Animalia;
"Ampedus cardinalis (Schiødte, 1865)";"Ampedus cardinalis (Schiødte, 1865)";Animalia;
"Ampedus cinnabarinus (Eschscholtz, 1829)";"Ampedus cinnabarinus (Eschscholtz, 1829)";Animalia;
"Ampedus elegantulus (Schönherr, 1817)";"Ampedus elegantulus (Schönherr, 1817)";Animalia;
"Ampedus elongatulus (Fabricius, 1787)";"Ampedus elongatulus (Fabricius, 1787)";Animalia;
"Ampedus erythrogonus (P.W.J. Müller, 1821)";"Ampedus erythrogonus (P.W.J. Müller, 1821)";Animalia;
"Ampedus melanurus Mulsant & Guillebeau, 1855";"Ampedus melanurus Mulsant & Guillebeau, 1855";Animalia;
"Ampedus nigerrimus (Lacordaire in Boisduval & Lacordaire, 1835)";"Ampedus nigerrimus (Lacordaire in Boisduval & Lacordaire, 1835)";Animalia;
"Ampedus nigroflavus (Goeze, 1777)";"Ampedus nigroflavus (Goeze, 1777)";Animalia;
